country_name,country_code,discipline,event,athlete_firstname,athlete_lastname,athlete_birthdate,athlete_age,athlete_sex,athlete_height_cm,athlete_weight_kg,athlete_medal
Brazil,BRA,Shooting,10m Air Rifle Women,Geovana,MEYER,2001-09-10,22,Female,0.0,0.0,none
Brazil,BRA,Shooting,50m Rifle 3 Positions Women,Geovana,MEYER,2001-09-10,22,Female,0.0,0.0,none
Brazil,BRA,Shooting,10m Air Pistol Men,Philipe,CHATEAUBRIAN,1989-01-31,35,Male,0.0,0.0,none
Canada,CAN,Rugby Sevens,Women,Olivia,APPS,1998-12-01,25,Female,166.0,70.0,silver
Canada,CAN,Rugby Sevens,Women,Fancy,BERMUDEZ,2002-05-27,22,Female,160.0,70.0,silver
Canada,CAN,Rugby Sevens,Women,Alysha,CORRIGAN,1997-01-25,27,Female,167.0,70.0,silver
Canada,CAN,Rugby Sevens,Women,Caroline,CROSSLEY,1998-04-19,26,Female,181.0,81.0,silver
Canada,CAN,Rugby Sevens,Women,Chloe,DANIELS,2003-04-27,21,Female,174.0,68.0,silver
Canada,CAN,Rugby Sevens,Women,Asia,HOGAN-ROCHESTER,1999-04-20,25,Female,163.0,64.0,silver
Canada,CAN,Rugby Sevens,Women,Piper,LOGAN,2001-07-13,23,Female,167.0,60.0,silver
Canada,CAN,Rugby Sevens,Women,Carissa,NORSTEN,2003-11-07,20,Female,173.0,70.0,silver
Canada,CAN,Rugby Sevens,Women,Taylor,PERRY,2000-07-23,24,Female,168.0,68.0,silver
Canada,CAN,Rugby Sevens,Women,Krissy,SCURFIELD,2003-06-15,21,Female,168.0,70.0,silver
Canada,CAN,Rugby Sevens,Women,Florence,SYMONDS,2002-05-20,22,Female,178.0,75.0,silver
Canada,CAN,Rugby Sevens,Women,Shalaya,VALENZUELA,1999-06-12,25,Female,170.0,72.0,silver
Canada,CAN,Rugby Sevens,Women,Keyara,WARDLEY,2000-01-27,24,Female,170.0,68.0,silver
Canada,CAN,Rugby Sevens,Women,Charity,WILLIAMS,1996-10-20,27,Female,164.0,68.0,silver
